,COD_ID,PAC_1,PAC_2,KEY,PN_CON_1,PN_CON_2,COMP,TIP_CND,x,y,TIP_UNID,P_N_OPE,COR_NOM,circ_Lin,circ_CTAT,circ_PAC_de,circ_PAC_pr,circ_cont,Cor,x1,y1,x2,y2,R1,X1,Corrente Max
13170,24393925,87276636926640642AT,87283481926654828AT,SSDAT,27365195.0,27365311.0,157.511,16512297H-3,,,,,,27,87075180925253344AT,87276636926640642AT,87283481926654828AT,122,#4682B4,-35.6295778098,-6.6253008638,-35.6289578432,-6.6240192499,0.67,0.418,230
13171,46681995,93955635920163294AT,93943539920147203AT,SSDAT,49214661.0,49214659.0,201.304,16512289H-3,,,,,,50,95377922920421820AT,93955635920163294AT,93943539920147203AT,789,#008000,-35.0217052483,-7.2053592416,-35.0227855427,-7.2068208081,0.268,0.304,322
13172,53075248,88120405923633347AT,88141022923627071AT,SSDAT,53187857.0,53187926.0,215.511,16512291H-3,,,,,,27,87075180925253344AT,88120405923633347AT,88141022923627071AT,613,#4682B4,-35.5514534716,-6.8963232797,-35.5495899594,-6.8968936792,0.211,0.385,495
13173,46681826,93485315923627348AT,93479097923646100AT,SSDAT,49215659.0,49215645.0,197.56,16512291H-3,,,,,,76,DJP46781234,93485315923627348AT,93479097923646100AT,248,#8A2BE2,-35.0668447012,-6.893113888,-35.0674200758,-6.891427223,0.211,0.385,495
13174,46682711,95617488920880427AT,95614350920886834AT,SSDAT,49216949.0,49216843.0,71.342,16512296H-3,,,,,,4,95377967920418724AT,95617488920880427AT,95614350920886834AT,113,#4F4F4F,-34.8721372721,-7.1393202953,-34.8724251964,-7.1387442283,0.113,0.26,710
13175,46682547,93574732923352184AT,93571691923361454AT,SSDAT,49215660.0,49215648.0,97.561,16512291H-3,,,,,,76,DJP46781234,93574732923352184AT,93571691923361454AT,180,#8A2BE2,-35.0585620414,-6.9178781199,-35.0588440706,-6.9170426614,0.211,0.385,495
13176,46681480,95008241916646447AT,95019049916642139AT,SSDAT,49216788.0,49217838.0,116.349,16512289H-3,,,,,,17,93174639915954074AT,95008241916646447AT,95019049916642139AT,202,#00008B,-34.9237024863,-7.5218524692,-34.9227162951,-7.5222186642,0.268,0.304,322
13177,16518963,69452293920236275AT,69451729920230563AT,SSDAT,20012554.0,20012553.0,57.398,16512297H-3,,,,,,60,12908435,69452293920236275AT,69451729920230563AT,136,#808000,-37.2382917857,-7.212695177,-37.2383408518,-7.2132118286,0.67,0.418,230
13178,46690434,94568141921370232AT,94552676921404542AT,SSDAT,49215409.0,49217903.0,376.343,16512297H-3,,,,,,50,95377922920421820AT,94568141921370232AT,94552676921404542AT,385,#008000,-34.9673259601,-7.0959695651,-34.9687316652,-7.0928743487,0.67,0.418,230
13179,16518964,52771453922711646AT,52774307922733469AT,SSDAT,20009205.0,20009137.0,220.088,16512289H-3,,,,,,3,52751595922553404AT,52771453922711646AT,52774307922733469AT,8,#363636,-38.74906917,-6.9921070869,-38.7488262316,-6.9901312458,0.268,0.304,322
13180,16517044,63344163927531419AT,63351211927549825AT,SSDAT,20011874.0,20011873.0,197.093,16512290H-3,,,,,,31,63154553925057175AT,63344163927531419AT,63351211927549825AT,196,#00FFFF,-37.7930299186,-6.554726667,-37.7923957347,-6.5530573067,0.211,0.38,495
13181,16518966,52758824922601768AT,52761205922614069AT,SSDAT,20009208.0,20009207.0,125.293,16512289H-3,,,,,,3,52751595922553404AT,52758824922601768AT,52761205922614069AT,3,#363636,-38.7502216548,-7.0020455047,-38.7500054182,-7.0009182738,0.268,0.304,322
13182,46682178,95837122921420542AT,95843368921427624AT,SSDAT,49215449.0,49215351.0,94.428,16512296H-3,,,,,,5,95638767921098348AT,95843368921427624AT,95837122921420542AT,186,#696969,-34.8527400467,-7.090417087,-34.852181655,-7.0897730986,0.113,0.26,710
13183,16518967,61553996922434526AT,61560891922434975AT,SSDAT,20011644.0,185110046.0,69.096,16512289H-3,,,,,,29,61546442922434015AT,61553996922434526AT,61560891922434975AT,1,#708090,-37.9539468129,-7.0160749709,-37.9533227284,-7.0160329698,0.268,0.304,322
13184,16520141,63155053926606713AT,63160710926623008AT,SSDAT,20014045.0,20014004.0,172.49,16512297H-3,,,,,,31,63154553925057175AT,63155053926606713AT,63160710926623008AT,110,#00FFFF,-37.8099324103,-6.6383989552,-37.8094242726,-6.6369240752,0.67,0.418,230
13185,16518968,51279323920312316AT,51299350920347674AT,SSDAT,20012876.0,20012767.0,406.358,16512289H-3,,,,,,2,50672794919216979AT,51279323920312316AT,51299350920347674AT,35,#1C1C1C,-34.9760942098,-7.137424153,-34.9760942098,-7.137424153,0.268,0.304,322
13186,16517598,68122790922929590AT,68129142922925587AT,SSDAT,20013526.0,20013548.0,75.081,16512289H-3,,,,,,37,61549605922440225AT,68122790922929590AT,68129142922925587AT,730,#008080,-37.3595262836,-6.9696087418,-37.3589502031,-6.9699687072,0.268,0.304,322
13187,16518969,59930322930477654AT,59944963930473753AT,SSDAT,20012310.0,20012301.0,151.518,16512297H-3,,,,,,32,59318483930426469AT,59930322930477654AT,59944963930473753AT,32,#00CED1,-38.1022563417,-6.2888806643,-38.1009322374,-6.289231238,0.67,0.418,230
13188,16518514,52780945922787213AT,52802202922797071AT,SSDAT,20009203.0,20009202.0,234.316,16512289H-3,,,,,,3,52751595922553404AT,52780945922787213AT,52802202922797071AT,12,#363636,-38.7482278614,-6.9852693066,-38.7462979649,-6.9843897364,0.268,0.304,322
13189,16518971,69364410920438533AT,69386241920418589AT,SSDAT,20012715.0,20012714.0,295.695,16512297H-3,,,,,,60,12908435,69364410920438533AT,69386241920418589AT,119,#808000,-37.2463187179,-7.1944383927,-37.2443353567,-7.1962340789,0.67,0.418,230
13190,46683734,92955044921432145AT,92938505921432885AT,SSDAT,49214940.0,49214956.0,165.555,16512297H-3,,,,,,50,95377922920421820AT,92955044921432145AT,92938505921432885AT,972,#008000,-35.1130916072,-7.0916247182,-35.1145864009,-7.0915704513,0.67,0.418,230
13191,16518972,69386241920418589AT,69402083920406092AT,SSDAT,20012714.0,20012713.0,201.778,16512297H-3,,,,,,60,12908435,69386241920418589AT,69402083920406092AT,120,#808000,-37.2443353567,-7.1962340789,-37.2428967787,-7.1973585067,0.67,0.418,230
13192,46681234,93941876917322191AT,93955907917346974AT,SSDAT,49214168.0,49215723.0,284.792,16512289H-3,,,,,,15,93174322915954067AT,93941876917322191AT,93955907917346974AT,70,#191970,-35.0206562467,-7.4617554318,-35.0194079517,-7.4595076177,0.268,0.304,322
13193,16518973,69402083920406092AT,69410705920392550AT,SSDAT,20012713.0,20012732.0,160.538,16512297H-3,,,,,,60,12908435,69402083920406092AT,69410705920392550AT,121,#808000,-37.2428967787,-7.1973585067,-37.2421114844,-7.1985799236,0.67,0.418,230
13194,46689433,93404453926771030AT,93416989926781342AT,SSDAT,49218137.0,49216475.0,162.323,16512291H-3,,,,,,76,DJP46781234,93404453926771030AT,93416989926781342AT,775,#8A2BE2,-35.0764386346,-6.609457216,-35.0753316214,-6.6085102029,0.211,0.385,495
13195,24393110,73470204915214996AT,73462813915193992AT,SSDAT,27367126.0,27367127.0,222.665,16512297H-3,,,,,,19,84126466919574466AT,73470204915214996AT,73462813915193992AT,1282,#0000FF,-36.8723774573,-7.6650472306,-36.8730377224,-7.6669491808,0.67,0.418,230
13196,16517732,58092260925042120AT,58108729925042810AT,SSDAT,20014700.0,20014711.0,164.834,16512289H-3,,,,,,29,61546442922434015AT,58092260925042120AT,58108729925042810AT,482,#708090,-38.2676999843,-6.780805076,-38.2662098184,-6.780740412,0.268,0.304,322
13197,24393111,73477710915238309AT,73470204915214996AT,SSDAT,27367297.0,27367126.0,244.915,16512297H-3,,,,,,19,84126466919574466AT,73477710915238309AT,73470204915214996AT,1280,#0000FF,-36.8717078131,-7.6629365092,-36.8723774573,-7.6650472306,0.67,0.418,230
13198,304183024,83982777919330986AT,83974745919315446AT,SSDAT,49216413.0,49216412.0,174.93,16512290H-3,,,,,,46,84129989919566811AT,83982777919330986AT,83974745919315446AT,24,#8FBC8F,-35.922791561,-7.2875048758,-35.9235085743,-7.2889135101,0.211,0.38,495
13199,24393114,73471857915164308AT,73469929915158032AT,SSDAT,27367128.0,27367709.0,65.655,16512297H-3,,,,,,19,84126466919574466AT,73471857915164308AT,73469929915158032AT,1288,#0000FF,-36.8722049133,-7.6696283906,-36.8723906746,-7.6701922988,0.67,0.418,230
13200,46681556,95540188916627157AT,95552041916616725AT,SSDAT,49215463.0,49215488.0,157.899,16512289H-3,,,,,,17,93174639915954074AT,95540188916627157AT,95552041916616725AT,290,#00008B,-34.8755879861,-7.5231290533,-34.8745147496,-7.5240672539,0.268,0.304,322
13201,24393116,73456933915178617AT,73471857915164308AT,SSDAT,27367298.0,27367128.0,206.754,16512297H-3,,,,,,19,84126466919574466AT,73456933915178617AT,73471857915164308AT,1286,#0000FF,-36.8735636073,-7.6683416272,-36.8722049133,-7.6696283906,0.67,0.418,230
13202,24395182,77000914920793733AT,76998887920812874AT,SSDAT,27367273.0,27367084.0,192.48,16512289H-3,,,,,,19,84126466919574466AT,76998887920812874AT,77000914920793733AT,632,#0000FF,-36.5552808574,-7.1591684093,-36.5554734859,-7.1574394932,0.268,0.304,322
13203,24393119,73462813915193992AT,73456933915178617AT,SSDAT,27367127.0,27367298.0,164.61,16512297H-3,,,,,,19,84126466919574466AT,73462813915193992AT,73456933915178617AT,1284,#0000FF,-36.8730377224,-7.6669491808,-36.8735636073,-7.6683416272,0.67,0.418,230
13204,46684020,93619410923214775AT,93616796923222637AT,SSDAT,49215171.0,49215402.0,82.852,16512291H-3,,,,,,76,DJP46781234,93619410923214775AT,93616796923222637AT,122,#8A2BE2,-35.0544334068,-6.9302504899,-35.0546765556,-6.9295428727,0.211,0.385,495
13205,24393121,73479863915243577AT,73477710915238309AT,SSDAT,27367125.0,27367297.0,56.91,16512297H-3,,,,,,19,84126466919574466AT,73479863915243577AT,73477710915238309AT,1278,#0000FF,-36.8715150973,-7.6624593478,-36.8717078131,-7.6629365092,0.67,0.418,230
13206,282670472,84821859919952169AT,84840336919952724AT,SSDAT,21762239.0,21762245.0,184.853,16512289H-3,,,,,,12,84595225919959341AT,84821859919952169AT,84840336919952724AT,11,#836FFF,-35.8472792686,-7.2308938022,-35.845604463,-7.2307960333,0.268,0.304,322
13207,24393122,73486661915265900AT,73479863915243577AT,SSDAT,27367296.0,27367125.0,233.351,16512297H-3,,,,,,19,84126466919574466AT,73486661915265900AT,73479863915243577AT,1276,#0000FF,-36.8709091638,-7.6604384336,-36.8715150973,-7.6624593478,0.67,0.418,230
13208,46680425,95228684920505811AT,95226762920499538AT,SSDAT,49216207.0,49216209.0,65.608,16512296H-3,,,,,,41,95247341920548721AT,95228684920505811AT,95226762920499538AT,7,#2F4F4F,-34.906960038,-7.1734385709,-34.907128606,-7.1740061133,0.113,0.26,710
13209,24393123,73490158915275686AT,73486661915265900AT,SSDAT,27367124.0,27367296.0,103.921,16512297H-3,,,,,,19,84126466919574466AT,73490158915275686AT,73486661915265900AT,1274,#0000FF,-36.8705967007,-7.6595522704,-36.8709091638,-7.6604384336,0.67,0.418,230
13210,24393124,73500452915306199AT,73490158915275686AT,SSDAT,27367295.0,27367124.0,322.026,16512297H-3,,,,,,19,84126466919574466AT,73500452915306199AT,73490158915275686AT,1272,#0000FF,-36.8696913927,-7.6567846491,-36.8705967007,-7.6595522704,0.67,0.418,230
13211,16516726,59369472923540700AT,59344318923549392AT,SSDAT,20011523.0,20015204.0,266.134,16512289H-3,,,,,,29,61546442922434015AT,59369472923540700AT,59344318923549392AT,110,#708090,-38.1518857993,-6.9164105549,-38.1541614888,-6.9156288624,0.268,0.304,322
13212,24393126,73507793915326454AT,73500452915306199AT,SSDAT,27367123.0,27367295.0,215.443,16512297H-3,,,,,,19,84126466919574466AT,73507793915326454AT,73500452915306199AT,1270,#0000FF,-36.8690354308,-7.6549507003,-36.8696913927,-7.6567846491,0.67,0.418,230
13213,24393878,79792568919213352AT,79777568919206452AT,SSDAT,27365359.0,27365360.0,165.109,16512300H-3,,,,,,19,84126466919574466AT,79777568919206452AT,79792568919213352AT,1059,#0000FF,-36.3018526998,-7.3005566072,-36.3032064017,-7.3011881894,0.335,0.392,480
13214,24393130,73524107915377357AT,73514248915347633AT,SSDAT,27367294.0,27367208.0,313.164,16512297H-3,,,,,,19,84126466919574466AT,73524107915377357AT,73514248915347633AT,1266,#0000FF,-36.8675801371,-7.6503421542,-36.8684600743,-7.6530335328,0.67,0.418,230
13215,46682380,93869575917008778AT,93922687917024384AT,SSDAT,49216575.0,49217172.0,553.573,16512289H-3,,,,,,17,93174639915954074AT,93869575917008778AT,93922687917024384AT,74,#00008B,-35.026945463,-7.4901030537,-35.0221560658,-7.4886513753,0.268,0.304,322
13216,72163254,80463742921381436AT,80443930921383106AT,SSDAT,79525072.0,79525071.0,198.823,16512291H-3,,,,,,19,84126466919574466AT,80463742921381436AT,80443930921383106AT,324,#0000FF,-36.2423005301,-7.1042956523,-36.244093477,-7.104155421,0.211,0.385,495
13217,24393653,87507383923923464AT,87510036923925643AT,SSDAT,27364885.0,76115493.0,34.331,16512297H-3,,,,,,27,87075180925253344AT,87510036923925643AT,87507383923923464AT,517,#4682B4,-35.6070297979,-6.8705229074,-35.6067914856,-6.8703244432,0.67,0.418,230
13218,46689760,93070777927177156AT,93066110927199533AT,SSDAT,49218896.0,49218617.0,228.585,16512291H-3,,,,,,76,DJP46781234,93070777927177156AT,93066110927199533AT,996,#8A2BE2,-35.1068239414,-6.5730461323,-35.1072612277,-6.5710286022,0.211,0.385,495
13219,16517047,63347966927622447AT,63352091927640862AT,SSDAT,20011869.0,20011971.0,188.713,16512290H-3,,,,,,31,63154553925057175AT,63347966927622447AT,63352091927640862AT,210,#00FFFF,-37.7927049818,-6.5464899086,-37.7923362148,-6.5448250782,0.211,0.38,495
13220,46682601,87447519919705656AT,87418568919709004AT,SSDAT,49217109.0,49217113.0,291.439,16512289H-3,,,,,,83,212887975,87447519919705656AT,87418568919709004AT,377,#FF00FF,-35.6096645938,-7.2514171389,-35.6122832811,-7.2511359721,0.268,0.304,322
13221,46680385,96170692920693418AT,96170472920700403AT,SSDAT,452587602.0,49214768.0,69.885,16512296H-3,,,,,,5,95638767921098348AT,96170472920700403AT,96170692920693418AT,657,#696969,-34.8220188342,-7.1557458657,-34.8220444469,-7.1551158807,0.113,0.26,710
